geneid,moDC-2811_S3_001,moDC-3941_S6_001,moDC-4540_S9_001,moDC-4771_S12_001,mono-2811_S2_001,mono-3941_S5_001,mono-4540_S8_001,mono-4771_S11_001,tolDC-2811_S4_001,tolDC-3941_S7_001,tolDC-4540_S10_001,tolDC-4771_S13_001
MRPL20,66.1891,69.5478,65.0873,63.6032,11.868,35.8889,41.6348,34.0272,65.3196,61.9963,62.698,57.5391
ANKRD65,0,0,0.0564,0,0,0,0.0557,0,0,0.0513,0.0302,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,0.0163,0.0386,0.0216,0.0339,0,0.0273,0,0,0,0.0785,0,0.322
ATAD3C,0,0.0426,0,0,0,0,0.0317,0,0,0.0217,0,0
ATAD3B,2.7082,2.4533,4.6683,3.5806,1.9777,4.1823,5.0879,5.1395,3.0923,2.9391,5.9854,4.412
ATAD3A,4.2516,3.1328,4.8162,3.9594,0.672,2.564,3.2285,3.2151,5.5429,4.3579,6.3368,4.9211
AX747755,0.0691,0,0.0462,0.0806,0.3096,0.2585,0.1161,0,0.0438,0.0405,0.1747,0.1155
TMEM240,0,0,0,0,0,0,0.1093,0,0,0,0,0.1033
SSU72,30.484,39.5454,30.8474,28.6644,13.1856,27.0635,30.1154,25.0669,36.2909,39.8164,32.6262,32.7937
HP08716,0.4781,0.5675,0,0.9963,1.3108,1.7517,0.4212,2.4574,0,0,0.1698,0.3979
C1orf233,2.4889,2.9148,3.041,3.6653,0.6369,1.5199,1.5786,0.887,1.9653,2.5633,1.8855,1.1048
AK094692,0.2646,0.157,0.1757,0.1379,0.1814,0.1212,0.2331,0.272,0.0768,0.0798,0.2349,0.1101
MIB2,2.1948,2.2869,2.9977,4.1546,2.5804,3.7894,5.11,4.1743,2.3316,2.4133,2.8809,4.3074
MMP23B,0.0815,0.0074,0,0,0.1049,0,0.4306,0.2299,0,0.0675,0.0272,0
CDK11B,4.3811,4.7097,4.3757,4.4023,16.9103,10.0803,8.5093,8.7258,4.5142,4.4947,3.6486,3.8128
CDC2L1,3.4227,2.9475,2.816,5.3068,12.2464,5.0628,7.8802,7.7935,0.7402,3.1455,2.4961,1.7837
SLC35E2B,8.3363,5.601,7.3325,8.7482,4.4399,4.081,7.8882,7.5761,7.2185,6.9678,8.1955,7.3115
MMP23A,0,0.0896,0,0,0.1049,0,0,0,0,0,0.0272,0
CDK11A,8.9711,6.3675,8.282,10.0512,30.0646,11.0386,21.2649,19.5756,8.5071,6.2334,8.8269,8.6289
AK097814,0,0,0,0,0,0,0,0,0,0,0,0
SLC35E2,1.8506,1.1727,2.4042,3.3449,0.7107,0.7587,2.3996,2.354,2.0997,1.4564,2.9911,3.7291
NADK,23.2556,22.9534,23.3563,36.975,22.2045,38.0537,52.0274,39.5378,24.6913,23.096,23.7345,19.1148
GNB1,48.5456,48.8041,51.1839,51.5668,35.6323,42.4158,47.1107,47.7195,46.3303,46.4768,45.6867,42.9024
CALML6,0,0,0,0,0,0,0,0,0,0,0,0
TMEM52,0.2171,0.4416,0.7688,0.1508,0,0.1136,0.437,0.1488,0.084,0.3493,0.1028,0.1205
C1orf222,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1751,0.0147,0,0,0,0.0886,0,0,0,0.0375,0.0178,0,0
AK054708,0,0,0,0,0,0,0,0,0,0.0428,0,0
GABRD,0,0,0,0,0,0.066,0,0,0,0,0,0
PRKCZ,0.0745,0,0,0.2924,0.5831,0.398,0.9633,0.2846,0,0,0.0406,0.276
AX747530,0.0664,0,0,0,0,0.1216,0.1169,0,0,0,0,0
C1orf86,8.3599,4.072,7.6168,6.3778,9.1676,5.0223,8.0169,8.8672,6.1308,2.1157,5.0223,5.1612
BC018779,0.3925,0.2541,0.3317,0.4461,2.152,1.1765,1.0058,2.0539,0.1657,0.3014,0.1014,0.4157
SKI,2.8789,2.3213,2.8554,3.8225,23.2453,6.1641,4.4302,3.9959,2.003,1.642,2.5019,4.3067
MORN1,0.8524,1.1332,0.8518,1.0662,0.8276,0.7728,1.0507,0.2606,0.9828,1.4646,0.598,0.774
LOC100129534,0.0308,0.1098,0.1229,0.2571,0,0.113,0.0543,0.1268,0.1074,0.0744,0.0657,0.0513
RER1,28.6008,30.5871,29.1529,30.2494,5.4321,13.5293,15.6346,13.5605,24.3566,29.1145,25,22.0145
PEX10,3.9816,5.6999,6.1778,7.5168,1.0508,2.5431,2.8304,2.5797,4.1929,4.3775,3.7826,4.7682
PLCH2,0.1237,0.0887,0.1232,0.2579,0.1025,0.2834,0.3815,0.1598,0.1437,0.0602,0.1239,0.1713
PANK4,5.1565,4.6718,4.6347,3.8824,3.8127,3.5571,3.5135,2.2658,4.9056,4.0219,5.3671,4.8043
HES5,0.0531,0,0,0,0,0,0.0935,0,0.1233,0,0.0377,0
LOC115110,1.4645,1.3307,1.4033,2.2236,1.1554,0.7893,0.3318,0.4516,0.6402,1.0524,0.5126,0.5224
LOC100133445,15.6831,8.3278,13.8291,20.4019,13.595,10.0996,9.5734,6.5951,13.1492,9.7245,14.8594,11.3067
TNFRSF14,86.7967,55.3843,73.3395,100.1631,68.7245,50.0493,54.5848,38.6541,65.8332,56.3915,63.7753,46.1426
FAM213B,16.076,12.8229,13.3062,9.0535,1.3823,1.9369,2.3623,1.577,8.0445,10.6166,7.5845,4.2716
MMEL1,0,0.0324,0,0.157,0.0724,0.0508,0.1906,0.0553,0,0.0642,0.0379,0.0863
TTC34,0,0,0,0,0,0,0,0.0803,0.0454,0.0943,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0
FLJ42875,0,0,0,0,0.3065,0,0,0,0,0.0376,0,0
PRDM16,0,0,0,0.0166,0.0439,0,0.0141,0,0,0.0097,0,0
MI0015861,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,0,0,0.0506,0,0.1045,0,0,0,0.2772,0.0288,0.4747,0.3181
MEGF6,0.6263,0.6844,0.6394,0.64,0.7641,0.8804,1.1593,0.7316,0.3445,0.4377,0.1059,0.3814
MI0003556,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,9.4261,13.4938,9.6354,13.1552,1.9173,4.9497,6.6933,5.411,8.9887,10.2043,7.557,8.463
WRAP73,5.7866,5.1686,4.7877,6.6059,3.1792,4.8121,6.5862,5.194,5.8471,5.7518,4.5621,6.158
TP73,0.1107,0.0521,0.0659,0.0689,0.1814,0,0.0297,0.2259,0.1179,0.3748,0.0497,0.2327
TP73-AS1,0.4434,0.5923,0.8955,0.8933,0.2877,1.2067,1.5709,1.1859,0.7252,0.6702,0.7443,1.5746
CCDC27,0,0,0,0,0,0,0,0,0,0.0385,0,0
SMIM1,0.2713,0.9662,0.3603,1.1309,0,0.4971,0.239,0.8368,0,0.1637,0,0.2258
LRRC47,9.5295,10.7829,11.0216,11.1844,3.5887,9.5921,11.393,11.0341,9.637,9.6687,10.2822,9.1075
CEP104,2.5767,3.408,2.8758,4.0548,0.8461,2.5871,2.8814,3.3615,2.7447,2.8117,3.0887,3.0354
DFFB,1.9307,1.3647,1.8983,1.8992,0.8397,2.7843,1.9765,1.6069,1.8786,1.4795,2.4515,1.573
C1orf174,15.9039,14.08,10.7993,13.11,7.044,11.2031,11.0663,14.6231,16.37,14.0169,11.8828,10.1283
LOC100133612,0.359,0.3114,0.2286,0.5034,0,0,0.3265,0,0.2018,0.4849,0.5911,0.2183
LOC728716,0,0,0,0,0,0,0,0,0,0,0,0
LOC284661,0.0334,0,0,0,0,0,0,0,0,0,0,0
AJAP1,0,0,0,0,0.065,0,0,0,0,0.0286,0,0
BC037321,0.015,0,0,0.0312,0.0411,0,0,0.0308,0.0174,0,0,0
AK125078,0,0,0,0,0,0,0,0,0,0,0,0
MI0016753,0,0,0,0,0,0,0,0,0,0,0,0
MI0017322,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,0.4731,0.4391,0.3342,0.7493,1.4106,0.6768,1.0728,1.25,0.5229,0.6874,0.4277,0.7813
KCNAB2,41.1378,42.7122,45.8181,49.3399,41.3633,26.482,29.1768,24.5686,44.4402,44.4663,49.733,42.8296
CHD5,0,0,0,0,0.1796,0.4643,0.1154,0.202,0,0.0264,0.0465,0.0182
RPL22,223.5323,175.5186,179.7797,183.2188,171.755,270.1526,306.5164,356.9919,314.9758,219.2029,273.4742,278.3973
RNF207,0,0.0207,0.0232,0,1.1268,1.2927,0.8188,0.3521,0.057,0.3078,0.0372,0.0291
ICMT,16.4661,21.3074,16.4416,17.4567,0.3553,3.1387,4.4138,3.9503,12.4311,17.7185,12.8997,12.858
C1orf211,0,0,0,0,0,0,0,0,0,0,0,0
HES3,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,2.8362,1.7336,2.3457,2.6898,0.1397,0.5911,0.1496,0.1047,0.7297,0.5329,0.8805,0.7632
ACOT7,70.9865,79.0783,67.5965,29.0551,1.2635,0.9304,8.5869,0.4032,117.2916,130.4138,102.1751,73.6835
HES2,2.8447,2.4653,2.3319,5.7218,0,0,0.2294,0,0.3882,1.573,0.3814,0.298
ESPN,0.0393,0.0233,0.0261,0.0767,0,0.0674,0,0.227,0,0.1332,0.0139,0
MI0015864,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,0.6474,0.1015,0.1238,0.1346,0.2556,0.5419,0.1366,0.2079,0.5579,0,0,0.1075
PLEKHG5,0.7222,0.3724,0.3253,0.1173,0,0.0344,0,0.0311,0.1422,0.0868,0.0133,0.1418
NOL9,2.4582,3.2733,2.5513,2.6256,1.7556,2.4219,3.2573,2.442,2.6386,3.5028,2.8022,2.0802
TAS1R1,0,0,0,0,0.612,0.5842,0.1202,0.6556,0,0,0.0679,0.0531
ZBTB48,5.6555,6.0752,5.5911,6.7875,15.8462,9.6747,7.1759,8.6374,5.7015,6.5867,6.1912,6.181
KLHL21,4.7093,4.2041,4.82,5.2368,15.9228,4.9127,7.9794,8.1646,5.0518,6.3203,6.4193,6.9296
PHF13,3.1357,3.3632,3.0354,2.9917,1.2947,1.7994,2.2631,2.7573,2.3251,2.827,2.8039,3.8673
THAP3,4.1307,4.5264,4.3345,3.6535,1.6479,2.2023,2.9588,1.1328,3.1991,4.7303,4.2971,4.431
DNAJC11,10.3513,10.7029,10.2036,7.195,2.1569,4.3715,7.3815,4.3715,9.9942,11.8739,11.7881,7.1633
CAMTA1,20.7338,19.6848,19.9695,17.2572,13.1175,21.389,21.4021,20.674,17.1451,18.8687,21.4314,21.5629
VAMP3,77.0904,77.2475,81.6703,70.4329,27.1513,47.6895,62.0949,61.4065,60.0196,64.3548,56.7607,58.3498
PER3,11.7367,10.1228,11.953,13.1558,1.4248,0.9853,1.1934,1.1927,6.334,5.0953,4.1681,4.9055
UTS2,0.0734,0,0,0,0,0,0.1896,0,0,0,0.076,0
TNFRSF9,0.0578,0.0549,0.0307,0.0964,0.0317,0.1907,0.4688,0.2854,0.0806,0.1117,0.115,0.1348
TRNA_Pseudo,0,0,0,0,0,0,0,0,0,0,0,0
PARK7,103.1444,93.2222,99.8272,80.8234,34.1692,62.2446,74.0243,67.8336,99.1524,87.7441,96.9502,84.3044
AX747125,0.033,0,0.1745,0.0677,0.5217,0.0596,0.6342,0.5403,0.0768,0.4719,0.2313,0.1617
ERRFI1,1.6838,0.7522,1.4123,2.1311,2.7464,0.5669,1.0777,0.6833,1.7917,0.4252,1.2949,3.9832
SLC45A1,0,0.0468,0.115,0,0,0.1446,0.0695,0.0811,0,0.0476,0.2522,0.1442
RERE,1.6155,1.9541,1.5398,1.9847,3.4825,4.5878,4.0324,2.6436,1.2667,2.2773,1.8086,2.0463
BC113958,0.3561,0,0,0.4948,0.3254,1.9572,0.8366,0.7322,0.2757,0.1433,0.0843,0.3952
ENO1,404.0374,459.6147,359.7472,185.9708,138.9332,163.5977,166.5829,179.2724,328.1978,382.9684,321.8879,246.8762
MI0022573,0,0,0,0,0,0,0,0,0,0,0,0
ENO1-AS1,0.3109,0.1845,0,0,0,0,0.5477,0.3196,0.361,0,0.7728,0.2587
CA6,0.0669,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A5,3.6966,1.8901,1.435,1.8246,0.7276,0.1307,0.754,0.3508,1.684,0.5148,0.9694,1.5567
GPR157,1.3492,0.9862,0.6493,2.0294,1.1193,0.2446,0.5679,0.4231,1.3626,1.8728,0.7815,1.2024
MI0000268,0,0,0,0,0,0,0,0,0,0,0,0
H6PD,7.3926,20.7541,14.4136,13.2978,1.2719,4.9741,7.0216,6.6925,4.8044,15.9627,7.33,10.4188
SPSB1,12.3535,19.9951,12.9372,14.9883,0.2566,0.163,1.1756,0.1924,4.673,14.5143,6.8461,7.6336
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,9.49,9.6309,13.3595,8.9984,8.846,11.6481,10.2829,11.9017,8.816,8.0175,10.9525,8.214
TMEM201,1.2872,0.8485,0.8766,0.5245,0.2004,0.9831,0.9726,1.2948,0.9348,0.7848,1.1811,0.8949
PIK3CD,12.9407,10.5936,10.9599,10.4658,21.7972,18.6096,23.0418,19.893,13.0615,8.1704,10.2314,9.7396
C1orf200,0.2662,0.0903,0.1515,0.317,1.4596,0.209,1.072,1.2509,0.1766,0.5508,0.2431,0.1899
BC038541,0,0.1564,0,0,0.7227,0.2414,0,0.5419,0,0,0.2808,0
CLSTN1,5.5497,9.9083,12.1868,9.1579,3.8367,6.4872,9.8324,9.1545,5.087,7.7925,11.7283,10.5793
CTNNBIP1,4.0862,5.1411,2.7362,5.1718,2.1824,5.5175,3.0937,6.5765,3.3616,2.7692,2.1317,3.3904
LZIC,19.2251,16.4027,15.0658,17.7568,7.05,13.6113,12.5738,12.5542,12.7239,13.6408,13.3747,15.1551
NMNAT1,7.5724,7.617,7.1102,6.2663,0.4021,1.0748,2.6812,1.4701,6.6427,6.5501,6.1463,5.3408
MI0019304,0,0,0,0,0,0,0,0,0,0,0,0
RBP7,1.6934,1.1306,1.4056,3.9702,21.4723,39.3601,48.1102,78.1182,1.8435,1.1496,2.5557,5.8136
UBE4B,6.7537,7.2091,5.2543,7.9049,3.7933,5.2281,6.6695,5.3849,6.9846,8.3687,7.5097,4.9799
KIF1B,7.3229,9.9982,7.5048,8.2495,8.0614,8.0916,6.5979,6.2585,8.783,12.4138,10.4064,9.1353
MI0014254,0,0,0,0,0,0,0,0,0,0,0,0
PGD,147.9631,192.2569,153.0168,186.3428,63.4072,90.6904,119.3617,116.438,201.9277,236.891,199.8833,218.3206
APITD1,1.3315,0.662,0.5925,1.046,0.1529,0.3065,0.2948,0.4587,0.6057,1.0545,0.4357,0.7427
APITD1-CORT,0.3518,0.244,0.546,0.3213,0,0.2824,0,0.1057,0.7366,1.0026,0.4688,0.2566
CORT,0.0651,0.1337,0,0,0,0,0,0,0,0,0.0862,0
DFFA,5.5068,5.9779,6.5226,4.8679,1.4481,3.8681,3.8676,4.0254,5.3466,6.6886,4.9515,5.9119
PEX14,18.7789,25.4362,17.1753,18.1104,3.3674,4.8884,7.6924,6.4604,12.5134,22.0693,16.9325,10.0661
CASZ1,0.2085,0.4689,0.2349,0.7449,1.4366,1.2246,0.8988,0.7326,0.1342,0.4049,0.1143,0.3128
C1orf127,0.2375,0.3205,0.3943,0.6877,0.4934,0.2719,0.37,0.185,0.209,0.2867,0.2351,0.3495
TARDBP,16.5984,15.3355,15.7487,15.6905,11.9617,11.3104,11.6722,13.8497,15.7488,18.6901,17.0696,11.3284
MASP2,0.4236,0.3687,0.6375,0.3531,0.6968,0.2587,0.398,0.9289,0.2295,0.3788,0.4212,0.3814
SRM,7.0251,6.8517,6.8707,6.6958,1.3437,4.3896,4.7014,5.7101,8.7267,9.2016,10.2881,9.0645
EXOSC10,13.9746,14.4875,15.9416,12.3697,16.7617,11.5618,12.3337,11.5275,12.8791,13.5329,13.9745,11.0787
MTOR,6.36,6.762,7.26,6.0676,3.5945,3.9592,4.9952,3.8552,7.1322,8.1505,7.9646,5.6068
MTOR-AS1,0,0,0,0,0,0.3598,0,0,0,0,0,0
ANGPTL7,0,0.0719,0.0804,0.1893,0.166,0.0555,0.0533,0,0,0.1096,0.0215,0.1008
UBIAD1,1.9352,1.6664,1.6378,2.5304,0.7802,1.425,2.3064,1.7553,2.4454,2.2898,2.4928,2.7158
PTCHD2,0,0,0,0,0,0,0,0,0,0,0,0
FBXO2,0.0808,0,0,0,0,0,0,0,0.1361,0,0,0.0975
FBXO44,1.6146,3.0352,1.3871,1.4905,0.5723,2.2764,1.4211,2.1991,0.7314,1.983,0.9853,2.2013
FBXO6,13.4711,21.3549,17.0582,20.1455,1.8405,6.559,7.8851,7.9131,5.6647,8.5883,7.1517,9.2373
MAD2L2,6.6073,9.3373,10.2364,10.0685,6.7929,8.0379,8.6401,10.7188,5.8143,7.6508,6.4856,10.3965
DRAXIN,0.1173,0.2321,0.1039,0.163,0,0.0716,0.1378,0.0804,0,0.8022,0.1111,0.1952
AK125437,0,0.1766,0.0494,0,0.1529,0.0341,0.1638,0,0.0216,0.404,0.0396,0.3405
AGTRAP,26.0528,19.8603,19.8486,32.2524,21.6482,66.5485,84.8286,86.5095,25.9107,17.9217,18.6505,37.7456
C1orf167,0,0,0,0,0.3823,0.0817,0,0.1714,0,0,0,0.0683
MTHFR,10.9701,13.2381,12.5872,10.0809,21.2693,7.7232,10.4072,11.4287,8.0862,9.734,9.5027,8.5955
CLCN6,4.499,2.585,4.3008,5.3118,13.5652,7.2171,6.7502,4.5531,4.4652,5.0312,4.4307,2.7643
NPPA-AS1,0.304,0,0.11,0.1726,0.407,0.1327,0.5231,1.0217,0.3905,0,0.0588,0.2471
NPPA,0.0812,0.0964,0,0,0,0,0.143,0.1669,0,0.098,0.1153,0
NPPB,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2013,16.4999,18.7802,20.1816,20.9974,4.3224,12.0892,13.5874,12.5505,18.9757,19.2314,17.2031,18.7165
PLOD1,23.0677,30.1342,25.318,16.545,5.1716,15.5744,13.691,11.9325,17.3047,20.2186,18.2298,14.6397
MFN2,20.144,24.4205,20.8136,12.5567,13.5286,16.0752,12.4821,8.7383,21.1965,23.051,21.3955,13.0432
MIIP,11.3168,12.6558,13.2912,10.5885,7.0705,14.0327,12.2751,13.6909,18.1473,10.1276,17.0042,9.7387
MI0022574,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF8,0,0,0.0855,0.0671,3.542,7.1621,7.7166,2.8492,0.0748,0.1166,0.1143,0.0489
MI0025516,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1B,20.5852,23.3507,22.952,22.0144,227.2538,211.3059,146.6768,118.2026,39.792,53.4347,46.6536,39.3774
MI0017259,0,0,0,0,0,0,0,0,0,0,0,0
VPS13D,4.4645,4.6774,4.3918,4.8391,8.9694,5.5826,5.7389,4.781,4.4017,5.2871,5.4091,4.5846
SNORA59B,0,0,0,0,0,0,0,0,0,0,0,0
DHRS3,10.8793,14.4236,19.3272,23.8247,28.7155,1.9669,1.7145,1.7923,4.1923,7.6475,6.5473,4.4062
MI0022575,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0.0181,0,0,0,0,0,0,0,0.021,0.0218,0,0
C1orf158,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0.0388,0,0,0.0809,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0.1033,0,0,0,0,0,0,0
LOC649330,0,0,0,0,0.1897,0,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,2.3966E-37,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0.0664,0,0,0.0455,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0.0553,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0.0631
PRAMEF6,0,0,0,0,0,0,0,0,0.0466,0,0,0.0671
PRAMEF5,0,0,0,0,0,0,0,0,0.0002,0,0,0
PRAMEF22,0,0,0,0,0,0,0,0,0,0,0,0
LOC440563,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF3,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,3.2912E-26,0.0449,0,0
PRAMEF13,0.032,0,0,0,0.0878,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0.0671,0,0.0394,0,0
PRAMEF16,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0.0537,0,0
LRRC38,0,0,0,0,0,0,0,0,0,0,0,0
PDPN,0,0,0,0,0,0,0,0,0,0.0658,0.0175,0
PRDM2,3.918,4.9809,4.2987,6.0385,15.9273,8.1566,9.0695,8.3005,8.029,7.9326,9.7705,8.3388
AK124197,0.0784,0.0233,0,0.1687,0.2088,0.0669,0.0658,0.0757,0.1453,0.2729,0.253,0.2818
